regime,arm,seed,test_level,best_epoch,val_macro_f1,macro_f1,micro_f1,hamming_accuracy,exact_match_accuracy,macro_map
clean,optical,0,0.0,10,0.7040695506267223,0.6970615402625858,0.7247370003005711,0.806474789738388,0.1278475127847513,0.7758200071478959
clean,optical,0,0.2,10,0.7040695506267223,0.6088361722111233,0.649434213445751,0.7328937914711974,0.0641562064156206,0.7358598126315034
clean,optical,0,0.4,10,0.7040695506267223,0.5390098547469079,0.6051995519660437,0.7169603989687672,0.0595072059507205,0.7058037624644625
clean,optical,0,0.6,10,0.7040695506267223,0.4123576312547732,0.5168438580760856,0.6811630953890369,0.0567178056717805,0.6780080803981707
clean,optical,0,0.8,10,0.7040695506267223,0.2628039283497072,0.4070490670352453,0.6373779637377964,0.0567178056717805,0.6327788189073066
clean,optical,0,1.0,10,0.7040695506267223,0.0093034446805951,0.0217208126579908,0.5583872194750856,0.0539284053928405,0.3605088542327035
clean,optical,1,0.0,23,0.7151944880634846,0.706766993726447,0.7251418702195904,0.8116732175309581,0.1403998140399814,0.7896904443086877
clean,optical,1,0.2,23,0.7151944880634846,0.61420631484997,0.6449566744067509,0.7350492371412873,0.0622966062296606,0.7388445984235603
clean,optical,1,0.4,23,0.7151944880634846,0.5533588311285632,0.6021101992966003,0.7131144076750772,0.0595072059507205,0.7122203792936155
clean,optical,1,0.6,23,0.7151944880634846,0.452825561994268,0.525085910652921,0.6787540678754068,0.0567178056717805,0.68576156402841
clean,optical,1,0.8,23,0.7151944880634846,0.3140993005507047,0.4000558932439041,0.6370821182536663,0.0557880055788005,0.6398992347782629
clean,optical,1,1.0,23,0.7151944880634846,0.0093034446805951,0.0217208126579908,0.5583872194750856,0.0539284053928405,0.3605088542327035
clean,optical,2,0.0,17,0.7121449311276551,0.7007498258645148,0.7220908374264751,0.8063057351760281,0.1320316132031613,0.7860367706662011
clean,optical,2,0.2,17,0.7121449311276551,0.6311283566562296,0.6498605688789738,0.7346688643759773,0.0646211064621106,0.7376002155029154
clean,optical,2,0.4,17,0.7121449311276551,0.5632011891596806,0.600583430571762,0.7106631165208571,0.0590423059042305,0.7090572212506167
clean,optical,2,0.6,17,0.7121449311276551,0.4335222878918296,0.5076981322564361,0.6702590761168167,0.0562529056252905,0.6828720088766365
clean,optical,2,0.8,17,0.7121449311276551,0.2736355194480002,0.4042872747132714,0.6312074722116563,0.0567178056717805,0.6390722644485128
clean,optical,2,1.0,17,0.7121449311276551,0.0093034446805951,0.0217208126579908,0.5583872194750856,0.0539284053928405,0.3605088542327035
clean,fusion,0,0.0,15,0.6883634102165698,0.6739815570131964,0.7136994568497285,0.799501289041038,0.1245932124593212,0.7619715134374936
clean,fusion,0,0.2,15,0.6883634102165698,0.6542401787930211,0.7070296141190547,0.7930349520307679,0.1148303114830311,0.7534208991134651
clean,fusion,0,0.4,15,0.6883634102165698,0.6258678558999861,0.6880084895649098,0.7763408139977178,0.100883310088331,0.744388991661193
clean,fusion,0,0.6,15,0.6883634102165698,0.5841138856626376,0.6618207397854505,0.7561810574362876,0.0971641097164109,0.732160276165525
clean,fusion,0,0.8,15,0.6883634102165698,0.5271836723735125,0.633519882179676,0.7370778918896074,0.0846118084611808,0.710591719756882
clean,fusion,0,1.0,15,0.6883634102165698,0.3659089758829714,0.4690568283249033,0.698322133468577,0.0781032078103207,0.6878391616775853
clean,fusion,1,0.0,23,0.7140191631940914,0.6975811225277908,0.7228306655433867,0.805333671442458,0.1231985123198512,0.7791601815711889
clean,fusion,1,0.2,23,0.7140191631940914,0.6827637165485666,0.7161959585057265,0.799966189087528,0.1194793119479312,0.7693569478300373
clean,fusion,1,0.4,23,0.7140191631940914,0.6505678361255862,0.6967169476486247,0.7833143146950678,0.104602510460251,0.7592173206747024
clean,fusion,1,0.6,23,0.7140191631940914,0.6144876276652098,0.672901594023881,0.7649718946790076,0.0976290097629009,0.7468606010074473
clean,fusion,1,0.8,23,0.7140191631940914,0.559743840052055,0.6441059681147395,0.7462068382570475,0.0901906090190609,0.7241734821305035
clean,fusion,1,1.0,23,0.7140191631940914,0.3655909199118164,0.4493281075027995,0.6674696758378766,0.0674105067410506,0.6991159108551321
clean,fusion,2,0.0,27,0.7117872002754884,0.7033738345589831,0.7262152056501869,0.8050378259583281,0.1283124128312412,0.7801173568308847
clean,fusion,2,0.2,27,0.7117872002754884,0.68440777805625,0.7164390014130947,0.796458306918558,0.1204091120409112,0.7720216021063352
clean,fusion,2,0.4,27,0.7117872002754884,0.6550053645348606,0.6970710332103321,0.7779468323401377,0.106462110646211,0.7618492101340415
clean,fusion,2,0.6,27,0.7117872002754884,0.6218673125939934,0.6803885291396855,0.7663665948184777,0.101348210134821,0.7498092972723175
clean,fusion,2,0.8,27,0.7117872002754884,0.5632232117595463,0.6472723015687193,0.7453193018046574,0.0836820083682008,0.727385490686433
clean,fusion,2,1.0,27,0.7117872002754884,0.3989921270737965,0.4522496371552975,0.6809940408266768,0.0822873082287308,0.7034203517926749
clean,fusion_shuf,0,0.0,17,0.6586789207540948,0.6775793287420876,0.7059241285435285,0.7899919699082879,0.1148303114830311,0.7524161607553169
clean,fusion_shuf,0,0.2,17,0.6586789207540948,0.5905918733839989,0.6377366750574587,0.7202146992941972,0.0632264063226406,0.7108170029480779
clean,fusion_shuf,0,0.4,17,0.6586789207540948,0.5232798761687889,0.6033894513115946,0.700308524576307,0.0553231055323105,0.6778245922723785
clean,fusion_shuf,0,0.6,17,0.6586789207540948,0.4708798344412642,0.5601791818931982,0.6846287139174169,0.0548582054858205,0.641739665887467
clean,fusion_shuf,0,0.8,17,0.6586789207540948,0.2566336650991074,0.3868279018924643,0.6206838257047462,0.0516039051603905,0.5664736937808673
clean,fusion_shuf,0,1.0,17,0.6586789207540948,0.0094814273683783,0.0203538139623359,0.5646845019229957,0.0483496048349604,0.3630130111454651
clean,fusion_shuf,1,0.0,26,0.6522335693949894,0.6705178903319992,0.6989294434357979,0.796754152402688,0.1213389121338912,0.7571148236407708
clean,fusion_shuf,1,0.2,26,0.6522335693949894,0.586771799848734,0.6262729124236253,0.7208063902624572,0.0655509065550906,0.704850087626308
clean,fusion_shuf,1,0.4,26,0.6522335693949894,0.5377238172575156,0.596928426543031,0.7060563796965471,0.0599721059972106,0.6834559815702166
clean,fusion_shuf,1,0.6,26,0.6522335693949894,0.4739131366991095,0.5434298440979956,0.6880943324457969,0.0576476057647605,0.6601701037007203
clean,fusion_shuf,1,0.8,26,0.6522335693949894,0.246512838722985,0.3801801801801802,0.6219939985630362,0.0553231055323105,0.600885313341371
clean,fusion_shuf,1,1.0,26,0.6522335693949894,0.0094131614654002,0.0210267096040916,0.5631630108617557,0.0516039051603905,0.3663317271683018
clean,fusion_shuf,2,0.0,28,0.668417133682583,0.6839211929677488,0.7142606560252587,0.7934575884366679,0.1227336122733612,0.765141351316419
clean,fusion_shuf,2,0.2,28,0.668417133682583,0.6216991094776629,0.6581242597178852,0.7316258822534973,0.0660158066015806,0.713463225245986
clean,fusion_shuf,2,0.4,28,0.668417133682583,0.5733775230564235,0.6310894596988486,0.7183550991082371,0.0595072059507205,0.6871234308256932
